Anos,Total,Portugal,Espanha,França,ReinoUnido,EUA,Outros,Coproduções
2011,670677,4354,2632,7143,1953,443837,18344,192414
2012,635051,24639,339,24828,10447,422448,8396,143954
2013,558161,13068,14431,30521,17908,343780,18212,120241
2014,596884,30353,1278,23037,3466,336852,14650,187248
2015,621770,27325,2842,22339,24060,351358,9837,184009
2016,650538,18843,5100,10743,9812,395567,17662,192811
2017,665841,18484,258,5919,17249,399848,9916,214167
2018,664341,14331,3750,20002,12941,349637,18651,245029
2019,661629,35068,5823,16055,12148,311603,28879,252053
2020,76982,13645,108,11263,5489,109083,19528,117866
2021,330473,11706,9903,3145,2462,116415,7246,179596
